MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
56442,ACR,1200708,AC XAPURI,RUA 24  DE  JANEIRO,0,270,CENTRO,XAPURI,XAPURI,AC,69930970
56606,ACR,1200609,AC TARAUACA,RUA CORONEL JUVENCIO DE MENEZES,0,158,CENTRO,TARAUACA,TARAUACA,AC,69970970
56533,ACR,1200500,AC SENA MADUREIRA,RUA DOM JULIO MATIOLLI,0,290,CENTRO,SENA MADUREIRA,SENA MADUREIRA,AC,69940970
56567,ACR,1200435,AC SANTA ROSA DO PURUS,RUA CORONEL JOSE FERREIRA,0,1498,CENTRO,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS,AC,69955970
58272,ACR,1200427,AC RODRIGUES ALVES,AVENIDA PRESIDENTE VARGAS,0,,CENTRO,RODRIGUES ALVES,RODRIGUES ALVES,AC,69985970
58273,ACR,1200393,AC PORTO WALTER,RUA PROJETADA,0,,CENTRO,PORTO WALTER,PORTO WALTER,AC,69982970
58271,ACR,1200807,AC PORTO ACRE,RUA MARGARIDAS,0,131,CENTRO,PORTO ACRE,PORTO ACRE,AC,69927970
56416,ACR,1200385,AC PLACIDO DE CASTRO,AV DIAMANTINO AUGUSTO DE MACEDO,0,580,CENTRO,PLACIDO DE CASTRO,PLACIDO DE CASTRO,AC,69928970
58274,ACR,1200351,AC MARECHAL THAUMATURGO,RUA 5 DE NOVEMBRO,0,5125,CENTRO,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,AC,69983970
56542,ACR,1200344,AC MANOEL URBANO,RUA VALERIO CALDAS MAGALHAES,0,92,CENTRO,MANOEL URBANO,MANOEL URBANO,AC,69950970
56629,ACR,1200336,AC MANCIO LIMA,RUA ALBERTO GADELHA,0,333,CENTRO,MANCIO LIMA,MANCIO LIMA,AC,69990970
58267,ACR,1200328,AC JORDAO,RUA ROMILDO MAGALHAES,0,,CENTRO,JORDAO,JORDAO,AC,69975970
63038,ACR,1200401,AC JOAO EDUARDO,AVENIDA SOBRAL,L 152  Q 252,960,GLORIA,RIO BRANCO,RIO BRANCO,AC,69911970
56598,ACR,1200302,AC FEIJO,AVENIDA PLACIDO DE CASTRO,0,871,CENTRO,FEIJO,FEIJO,AC,69960970
58269,ACR,1200252,AC EPITACIOLANDIA,AVENIDA SANTOS DUMONT,0,160,CENTRO,EPITACIOLANDIA,EPITACIOLANDIA,AC,69934970
56622,ACR,1200203,AC CRUZEIRO DO SUL,RUA REGO BARROS,0,73,CENTRO,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,69980970
58268,ACR,1200179,AC CAPIXABA,AVENIDA GOVERNADOR EDMUNDO PINTO,0,711,CENTRO,CAPIXABA,CAPIXABA,AC,69931970
56525,ACR,1200138,AC BUJARI,RUA EXPEDITO PEREIRA DE SOUZA,0,971,CENTRO,BUJARI,BUJARI,AC,69926970
56505,ACR,1200104,AC BRASILEIA,AVENIDA PREFEITO ROLANDO MOREIRA,0,170,CENTRO,BRASILEIA,BRASILEIA,AC,69932970
56513,ACR,1200054,AC ASSIS BRASIL,RUA DOM GIOCONDO MARIA GROTTE,0,230,CENTRO,ASSIS BRASIL,ASSIS BRASIL,AC,69935970
56410,ACR,1200450,AC SENADOR GUIOMARD,AVENIDA CASTELO BRANCO,0,175,CENTRO,SENADOR GUIOMARD,SENADOR GUIOMARD,AC,69925970
56403,ACR,1200401,AC RIO BRANCO,AVENIDA EPAMINONDAS JACOME,0,2858,CENTRO,RIO BRANCO,RIO BRANCO,AC,69900970
59693,ACR,1200401,AC OCA,RUA QUINTINO BOCAIUVA,0,299,CENTRO,RIO BRANCO,RIO BRANCO,AC,69900974
56568,ACR,1200013,AC ACRELANDIA,AVENIDA PARANA,0,296,CENTRO,ACRELANDIA,ACRELANDIA,AC,69945970
1818,AL,2709400,AC VICOSA,AVENIDA FIRMINO MAIA,0,50,CENTRO,VICOSA,VICOSA,AL,57700970
1828,AL,2709202,AC TRAIPU,RUA SENADOR SERAPIAO,0,,CENTRO,TRAIPU,TRAIPU,AL,57370970
1852,AL,2709152,AC TEOTONIO VILELA,RUA JACINTO GERONIMO,0,109,CENTRO,TEOTONIO VILELA,TEOTONIO VILELA,AL,57265970
1827,AL,2709103,AC TAQUARANA,PRACA MANOEL RODRIGUES,0,72,CENTRO,TAQUARANA,TAQUARANA,AL,57640970
1804,AL,2709004,AC TANQUE DARCA,RUA DA PAZ,0,1,CENTRO,TANQUE D ARCA,TANQUE D ARCA,AL,57635970
1762,AL,2704302,AC TABULEIRO DOS MARTINS,AVENIDA DOUTOR DURVAL DE GOES MONTEIRO,0,2217,TABULEIRO DO MARTINS,MACEIO,MACEIO,AL,57061970
1847,AL,2708956,AC SENADOR RUI PALMEIRA,RUA DO COMERCIO,0,482,CENTRO,SENADOR RUI PALMEIRA,SENADOR RUI PALMEIRA,AL,57515970
1773,AL,2708907,AC SATUBA,RUA TENENTE PAULO WINTELER,0,38,LOTEAMENTO FRIDOLIN WINTELLER,SATUBA,SATUBA,AL,57120970
1837,AL,2708808,AC SAO SEBASTIAO,RUA VALDEVINO DA SILVA,0,39,CENTRO,SAO SEBASTIAO,SAO SEBASTIAO,AL,57275970
1772,AL,2708709,AC SAO MIGUEL DOS MILAGRES,RUA VEREADOR LAMENHA COUTO,0,119,CENTRO,SAO MIGUEL DOS MILAGRES,SAO MIGUEL DOS MILAGRES,AL,57940970
1811,AL,2708600,AC SAO MIGUEL DOS CAMPOS,PRACA PADRE JULIO DE ALBUQUERQUE,0,16,CENTRO,SAO MIGUEL DOS CAMPOS,SAO MIGUEL DOS CAMPOS,AL,57240970
1848,AL,2708402,AC SAO JOSE DA TAPERA,RUA 24 DE DEZEMBRO,0,65,CENTRO,SAO JOSE DA TAPERA,SAO JOSE DA TAPERA,AL,57445970
1800,AL,2708105,AC SANTANA DO MUNDAU,RUA SILVESTRE PERICLES,0,,CENTRO,SANTANA DO MUNDAU,SANTANA DO MUNDAU,AL,57840970
1807,AL,2708006,AC SANTANA DO IPANEMA,AVENIDA DOUTOR ARSENIO MOREIRA,0,358,MONUMENTO,SANTANA DO IPANEMA,SANTANA DO IPANEMA,AL,57500970
1770,AL,2707800,AC ROTEIRO,RUA JOAO PEDRO,0,,CENTRO,ROTEIRO,ROTEIRO,AL,57257970
1806,AL,2707701,AC RIO LARGO,RUA EUCLIDES AFONSO DE MELO,0,14,CENTRO,RIO LARGO,RIO LARGO,AL,57100970
1805,AL,2707602,AC QUEBRANGULO,PRACA MAJOR CICERO DE GOES MONTEIRO,0,152,CENTRO,QUEBRANGULO,QUEBRANGULO,AL,57750970
1803,AL,2707503,AC PORTO REAL DO COLEGIO,AVENIDA ENGENHEIRO GORDILHO DE CASTRO,0,236,CENTRO,PORTO REAL DO COLEGIO,PORTO REAL DO COLEGIO,AL,57290970
1802,AL,2707404,AC PORTO DE PEDRAS,RUA DOUTOR SEBASTIAO DA HORA,0,281,CENTRO,PORTO DE PEDRAS,PORTO DE PEDRAS,AL,57945970
1801,AL,2707305,AC PORTO CALVO,RUA DOUTOR ANTONIO DORTA,0,16,CENTRO,PORTO CALVO,PORTO CALVO,AL,57900970
1846,AL,2707206,AC POCO DAS TRINCHEIRAS,RUA SAO SEBASTIAO,0,95,CENTRO,POCO DAS TRINCHEIRAS,POCO DAS TRINCHEIRAS,AL,57510970
1845,AL,2707107,AC PIRANHAS,ALAMEDA GRINAURIA MIRANDA,0,49,VILA SERGIPE,PIRANHAS,PIRANHAS,AL,57465971
46279,AL,2702306,AC PINDORAMA,AVENIDA CAMACARI,0,,PINDORAMA,COLONIA PINDORAMA,CORURIPE,AL,57238975
1793,AL,2707008,AC PINDOBA,RUA DO COMERCIO,0,33,CENTRO,PINDOBA,PINDOBA,AL,57720970
1799,AL,2706901,AC PILAR,RUA LUIZ RAMOS,0,131,CENTRO,PILAR,PILAR,AL,57150970
1798,AL,2706802,AC PIACABUCU,PRACA CENTENARIO,0,,CENTRO,PIACABUCU,PIACABUCU,AL,57210970
1797,AL,2706703,AC PENEDO,AVENIDA FLORIANO PEIXOTO,0,,CENTRO,PENEDO,PENEDO,AL,57200970
1782,AL,2706604,AC PAULO JACINTO,RUA JOAO CASSIANO COSTA,0,,CENTRO,PAULO JACINTO,PAULO JACINTO,AL,57740970
1767,AL,2706505,AC PASSO DE CAMARAGIBE,RUA FERNANDES LIMA,0,64,CENTRO,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE,AL,57930970
1858,AL,2706448,AC PARIPUEIRA,AVENIDA ANTONIO REINALDO,0,45,CENTRO,PARIPUEIRA,PARIPUEIRA,AL,57935970
51958,AL,2706422,AC PARICONHA,PRACA SAGRADO CORACAO DE JESUS,TERREO,7,CENTRO,PARICONHA,PARICONHA,AL,57475970
1795,AL,2706406,AC PAO DE ACUCAR,AVENIDA MAESTRO M BEZERRA LIMA,0,763,CENTRO,PAO DE ACUCAR,PAO DE ACUCAR,AL,57400970
1844,AL,2706208,AC PALESTINA,PRACA JOSE THOMAS NONO NETO,0,16,CENTRO,PALESTINA,PALESTINA,AL,57410970
1843,AL,2706109,AC OURO BRANCO,RUA SEBASTIAO VIEIRA DA ROCHA,0,356,CENTRO,OURO BRANCO,OURO BRANCO,AL,57525970
1825,AL,2705903,AC OLHO DAGUA GRANDE,RUA QUATORZE DE SETEMBRO,0,92,CENTRO,OLHO D AGUA GRANDE,OLHO D AGUA GRANDE,AL,57390970
1840,AL,2705804,AC OLHO DAGUA DO CASADO,RUA DO COMERCIO,0,255,CENTRO,OLHO D AGUA DO CASADO,OLHO D AGUA DO CASADO,AL,57470970
1792,AL,2705705,AC OLHO DAGUA DAS FLORES,RUA DO COMERCIO,0,191,CENTRO,OLHO D AGUA DAS FLORES,OLHO D AGUA DAS FLORES,AL,57442970
1791,AL,2705507,AC MURICI,AVENIDA PRESIDENTE VARGAS,0,23,CENTRO,MURICI,MURICI,AL,57820970
1839,AL,2705408,AC MONTEIROPOLIS,RUA SAO SEBASTIAO,0,1,CENTRO,MONTEIROPOLIS,MONTEIROPOLIS,AL,57440970
1765,AL,2705200,AC MESSIAS,RUA ROSALVO CALHEIROS MELO,0,141,CENTRO,MESSIAS,MESSIAS,AL,57990970
1764,AL,2705101,AC MATRIZ DE CAMARAGIBE,RUA CAPITAO JOSE DE BARROS PIMENTEL,0,137,CENTRO,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE,AL,57910970
